cutomer_id,customer_firstname,customer_lastname,customer_title,customer_phone,customer_email,customer_membership,Promo_Code,customer_street, customer_city, customer_region, customer_postcode, customer_country
NAT-21446,Mike,Berriball,Dr,+44 482 422 6609,mberriball0@abc.net.au,membership,FU99F073ANU,"Flat 95D
Reed lakes",Phillipsborough,North Yorkshire,B1D 6RT,United Kingdom
MQV-12400,Antone,Lujan,Mr,+44 941 356 9889,alujan1@qq.com,not membership,UD91E934CWH,"Flat 7
Damian manor",West Dean,Nottinghamshire,G1A 8DD,United Kingdom
MLY-44705,Moria,Llewellen,Honorable,+44 398 412 8484,mllewellen2@hud.gov,not membership,TZ51M533HOU,"Studio 77
Oliver fords",Zoeberg,Cumbria,G4H 0NH,United Kingdom
RFE-59474,Ichabod,Philson,Honorable,+44 114 708 3717,iphilson3@github.com,membership,VB21H201XZG,"Studio 57
Thomas turnpike",South Jacobview,Shropshire,M04 5UF,United Kingdom
WBO-40739,Leena,Strangeway,Mrs,+44 782 865 8414,lstrangeway4@utexas.edu,membership,ZD15K849SDK,86 Cook light,Harveyside,Inverclyde,M8 3LL,United Kingdom
PPP-76997,Maurise,Chiommienti,Ms,+44 538 602 6501,mchiommienti5@about.com,not membership,EM61S178UFT,6 Shaw glens,Kimberleyport,Orkney Islands,G53 1QY,United Kingdom
AXT-62647,Cathie,Pirelli,Honorable,+44 172 703 1594,cpirelli6@noaa.gov,not membership,TU92U370MGC,"Flat 3
Cheryl rue",East Joseph,West Berkshire,E44 8YU,United Kingdom
CBF-75520,Claire,Yosevitz,Rev,+44 871 224 2908,cyosevitz7@hibu.com,membership,DC61P279KOR,"Flat 71T
Marshall turnpike",Frasershire,Shropshire,KW5 2XZ,United Kingdom
INZ-84177,Bondon,Sidon,Mrs,+44 886 667 8955,bsidon8@yellowpages.com,not membership,MX35G873RRY,"Studio 82s
Martin mountains",Bethanborough,Tyrone,W26 5TW,United Kingdom
TWE-00676,Frances,De Domenicis,Ms,+44 429 458 9363,fdedomenicis9@clickbank.net,not membership,TO00A421DWF,361 Alex port,Hutchinsonside,Shetland Islands,S16 6XX,United Kingdom
LGB-46086,Cathe,Matevosian,Mrs,+44 584 223 8940,cmatevosiana@loc.gov,membership,JV47C125DRS,947 Glenn divide,Lake Keith,Flintshire,CW6R 4YS,United Kingdom
SGR-65629,Jud,Blankenship,Mrs,+44 776 518 6722,jblankenshipb@goodreads.com,membership,YE99I064TYM,148 Ross meadows,Shirleybury,Warwickshire,W2 0RL,United Kingdom
ADR-99282,Renate,Bartlomiej,Ms,+44 980 571 3210,rbartlomiejc@msn.com,membership,QP71U879SES,64 Leonard rue,East Andrea,Merionethshire,W70 4LN,United Kingdom
YCG-95880,Chaddy,Petrussi,Mr,+44 930 257 4619,cpetrussid@google.com.au,not membership,CW37C236OOX,55 Frances lane,South Ericstad,Cleveland,W9W 1ZT,United Kingdom
RHJ-93702,Forrest,Danilov,Honorable,+44 560 562 9443,fdanilove@hud.gov,not membership,MP67L474MUI,31 Liam forge,New Hilaryshire,Orkney Islands,PA93 9RL,United Kingdom
TNZ-37668,Halie,Pettinger,Mr,+44 862 243 6944,hpettingerf@fotki.com,not membership,YJ40F737SPA,"Studio 76
Brown view",Dannyport,North Ayrshire,M1 8QQ,United Kingdom
ZKU-88534,Paco,Belli,Rev,+44 437 275 2821,pbellig@yellowpages.com,membership,ZH22S975SJW,"Flat 20
Smith mountain",Andrewsmouth,Renfrewshire,SK0E 9PG,United Kingdom
THJ-67160,Braden,Hext,Mrs,+44 199 628 7617,bhexth@jigsy.com,membership,KP33A765SXY,"Studio 77
Bennett inlet",Thomsonport,West Yorkshire,GU7Y 0FB,United Kingdom
ZEC-71597,Eda,Caspell,Ms,+44 182 443 6654,ecaspelli@oaic.gov.au,membership,ZT72V531ELD,0 Joan forest,Abbiemouth,South Lanarkshire,G0 4DJ,United Kingdom
KRW-49337,Martica,Shugg,Mrs,+44 104 237 7656,mshuggj@issuu.com,not membership,DX74Z871SEP,5 Gray summit,Boothborough,Falkirk,B35 0HH,United Kingdom
XOH-81381,Vivyan,Moverley,Mr,+44 379 782 1039,vmoverleyk@about.me,membership,VP37R705CRT,1 Lynne meadows,Lake Jacquelineton,Merionethshire,NP01 8PX,United Kingdom
